prerequisite,prerequisite_label,dependent,dependent_label,p_dep_given_prereq_pct,p_dep_without_prereq_pct,lift_pp
addition,addition,number sense,number sense,75.3,35.2,40.0
addition,addition,shapes,shapes,74.2,37.6,36.6
addition,addition,fraction,fraction,71.1,36.0,35.1
addition,addition,subtraction,subtraction,72.3,24.1,48.3
addition,addition,data handling,data handling,67.3,31.0,36.3
addition,addition,measurement,measurement,66.6,25.7,40.9
addition,addition,place value,place value,64.0,31.0,33.0
addition,addition,mensuration,mensuration,62.2,27.5,34.7
addition,addition,multiplication,multiplication,64.2,21.2,43.0
addition,addition,division,division,61.0,19.6,41.4
number sense,number sense,shapes,shapes,76.4,46.6,29.8
number sense,number sense,fraction,fraction,72.1,43.2,28.9
number sense,number sense,subtraction,subtraction,75.7,34.9,40.9
number sense,number sense,data handling,data handling,72.7,35.9,36.8
number sense,number sense,measurement,measurement,70.3,33.2,37.1
number sense,number sense,place value,place value,69.3,29.3,40.0
number sense,number sense,mensuration,mensuration,72.7,37.2,35.5
number sense,number sense,multiplication,multiplication,68.7,27.9,40.8
number sense,number sense,division,division,65.1,26.4,38.7
shapes,shapes,fraction,fraction,77.6,41.5,36.1
shapes,shapes,subtraction,subtraction,71.5,43.7,27.7
shapes,shapes,data handling,data handling,72.9,37.2,35.7
shapes,shapes,measurement,measurement,72.9,28.4,44.5
shapes,shapes,place value,place value,65.5,39.9,25.6
shapes,shapes,mensuration,mensuration,64.6,17.1,47.5
shapes,shapes,multiplication,multiplication,66.2,33.2,33.0
shapes,shapes,division,division,64.5,28.1,36.4
fraction,fraction,subtraction,subtraction,73.8,47.3,26.5
fraction,fraction,data handling,data handling,70.8,35.0,35.8
fraction,fraction,measurement,measurement,69.8,33.0,36.8
fraction,fraction,place value,place value,67.5,41.6,25.9
fraction,fraction,multiplication,multiplication,69.7,35.2,34.5
fraction,fraction,division,division,69.1,30.3,38.8
subtraction,subtraction,data handling,data handling,73.2,38.0,35.3
subtraction,subtraction,measurement,measurement,71.4,36.0,35.4
subtraction,subtraction,place value,place value,68.5,37.0,31.5
subtraction,subtraction,mensuration,mensuration,73.2,41.7,31.5
subtraction,subtraction,multiplication,multiplication,72.3,27.1,45.2
subtraction,subtraction,division,division,68.5,25.6,42.9
data handling,data handling,measurement,measurement,73.9,32.6,41.2
data handling,data handling,place value,place value,70.5,41.3,29.2
data handling,data handling,mensuration,mensuration,74.3,33.8,40.5
data handling,data handling,multiplication,multiplication,68.7,30.4,38.3
data handling,data handling,division,division,71.2,30.2,40.9
measurement,measurement,place value,place value,71.2,38.4,32.8
measurement,measurement,mensuration,mensuration,70.7,30.3,40.4
measurement,measurement,multiplication,multiplication,69.8,35.0,34.8
measurement,measurement,division,division,70.5,27.2,43.3
place value,place value,mensuration,mensuration,66.0,42.0,24.1
place value,place value,multiplication,multiplication,68.3,39.4,28.9
place value,place value,division,division,64.5,30.7,33.8
mensuration,mensuration,multiplication,multiplication,47.3,15.9,31.4
mensuration,mensuration,division,division,68.5,28.8,39.7
multiplication,multiplication,division,division,72.5,27.4,45.1
